,AGE,ATTENDANCE,GRADE,INCOME_QUINTILE,PREPARE_ATTENDANCE,PREPARE_GRADE,PREPARE_join_1years_ago,PREPARE_join_2years_ago,PREPARE_join_3years_ago,PREPARE_join_4years_ago,PREPARE_join_this_year,TOTAL_JOIN,TOTAL_OFF,UNI_DIST,join_1years_ago,join_2years_ago,join_3years_ago,join_4years_ago,join_this_year
8841,26.0,0.8,4.0,4.0,0.0020532983835827084,0.5692442114460462,-0.35430318916557446,5.303189165574487,0.9078200087374402,-0.6767147225862822,-0.35342944517256425,9.0,5.0,9.88888888888889,0.0,5.999999999999999,2.0,1.0,0.0
8842,24.999999999999996,0.8,2.5,5.0,-0.010699955416847604,-0.8776192599197503,0.24788230049041451,-1.1297369594293356,1.5679893000445833,-1.613464110566206,2.3241194828354885,7.0,3.0000000000000004,7.285714285714286,1.0,0.0,3.0,0.0,3.0
8843,22.0,0.8,4.0,5.0,-0.025956596230742802,0.8043974871502001,-1.0502569960022845,-0.1025128498001142,0.0,0.0,3.799257567104512,6.0,1.0,18.09090909090909,0.0,1.0,0.0,0.0,5.0
8844,26.0,0.8,2.5,4.0,0.0020532983835827084,-0.9307557885539536,-0.35430318916557446,-0.6968108344255133,-1.09217999126256,-0.6767147225862822,-0.35342944517256425,1.0,2.0,14.0,0.0,0.0,0.0,1.0,0.0
8845,23.0,0.8,3.5,4.0,-0.025447882736150992,0.2516286644951139,-1.1934039087947883,-1.2487785016286646,-1.5700325732899023,0.0,-1.4153094462540716,0.0,1.0,341.0,0.0,0.0,0.0,0.0,0.0
8846,26.0,0.7,4.0,4.0,-0.09794670161641729,0.5692442114460462,-0.35430318916557446,-0.6968108344255133,-1.09217999126256,1.3232852774137178,-0.35342944517256425,3.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0
8847,26.0,0.8,4.5,2.0,0.0020532983835827084,1.0692442114460463,-0.35430318916557446,-0.6968108344255133,0.9078200087374402,0.3232852774137177,0.6465705548274358,5.0,1.0,26.000000000000004,0.0,0.0,2.0,2.0,1.0
8848,26.0,0.8,3.5,2.0,0.0020532983835827084,0.06924421144604623,-0.35430318916557446,-0.6968108344255133,-1.09217999126256,-0.6767147225862822,-0.35342944517256425,1.0,3.0000000000000004,29.999999999999996,0.0,0.0,0.0,1.0,0.0
8849,26.0,0.7,3.5,2.0,-0.09794670161641729,0.06924421144604623,-0.35430318916557446,-0.6968108344255133,-0.09217999126255991,0.3232852774137177,0.6465705548274358,4.0,2.0,8.0,0.0,0.0,1.0,2.0,1.0
8850,26.0,0.8,3.0000000000000004,5.0,0.0020532983835827084,-0.43075578855395374,2.645696810834425,0.3031891655744866,1.9078200087374397,3.323285277413717,4.646570554827435,17.0,1.0,13.000000000000002,3.0,1.0,3.0,5.0,5.0
